# Force coefficients
# liftDir     : (0.0000000e+00 0.0000000e+00 1.0000000e+00)
# dragDir     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis   : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf     : 4.4700000e+01
# lRef        : 2.9250000e-01
# Aref        : 5.3500000e-01
# CofR        : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         	Cm	Cd	Cl	Cl(f)	Cl(r)
1.0000000e+00	4.6637360e-02	8.2101677e-02	8.8249630e-02	9.0762175e-02	-2.5125448e-03
2.0000000e+00	8.6615535e-02	1.0126011e-01	2.1241080e-01	1.9282094e-01	1.9589866e-02
3.0000000e+00	1.0876168e-01	9.9457033e-02	2.7005235e-01	2.4378785e-01	2.6264495e-02
4.0000000e+00	1.0629671e-01	6.5474562e-02	2.3882953e-01	2.2571147e-01	1.3118055e-02
5.0000000e+00	8.3877999e-02	1.6570166e-02	1.6099492e-01	1.6437546e-01	-3.3805392e-03
6.0000000e+00	5.1637981e-02	-1.2515059e-02	1.1091263e-01	1.0709430e-01	3.8183335e-03
7.0000000e+00	2.9964864e-02	-4.1527923e-03	1.2981310e-01	9.4871412e-02	3.4941684e-02
8.0000000e+00	2.2153095e-02	2.7632695e-02	1.9906794e-01	1.2168706e-01	7.7380875e-02
9.0000000e+00	3.1777954e-02	6.0795619e-02	2.8442289e-01	1.7398940e-01	1.1043349e-01
1.0000000e+01	5.1338562e-02	7.1392130e-02	3.3024932e-01	2.1646322e-01	1.1378610e-01
1.1000000e+01	6.7401193e-02	5.8991779e-02	3.2675900e-01	2.3078070e-01	9.5978309e-02
1.2000000e+01	7.4365312e-02	3.5062713e-02	2.9062242e-01	2.1967652e-01	7.0945899e-02
1.3000000e+01	6.8626283e-02	1.5599217e-02	2.5037699e-01	1.9381478e-01	5.6562211e-02
1.4000000e+01	5.6416899e-02	1.1057597e-02	2.3372081e-01	1.7327730e-01	6.0443504e-02
1.5000000e+01	4.5598212e-02	1.9364433e-02	2.4390097e-01	1.6754870e-01	7.6352273e-02
1.6000000e+01	4.2249031e-02	3.4107965e-02	2.7510367e-01	1.7980086e-01	9.5302803e-02
